mes,variable,n_mes,psi,js,ks_stat,ks_pvalor,chi2_stat,chi2_pvalor,alerta
2026-01,edad_cliente,127,0.0658701737174046,0.09028329226658417,0.06776161507639189,0.5903570297684273,,,estable
2026-01,tipo_laboral,127,0.041249722923845655,0.07171271035734428,,,4.90518464741917,0.026776188776440675,estable
2026-01,salario_cliente,127,0.10482692376241023,0.11324138351282688,0.1303792675438631,0.02592829627045201,,,alerta
2026-01,total_otros_prestamos,127,0.18461448589009238,0.1503951728464757,0.16466441547299454,0.001978796586345366,,,alerta
2026-01,cuota_pactada,127,0.2507355893866453,0.17515577746831346,0.08852750717597019,0.26515785691410576,,,critico
2026-01,puntaje_datacredito,127,0.0689470303161655,0.09241927764997117,0.07517662536571956,0.4577539207930713,,,estable
2026-01,cant_creditosvigentes,127,0.015445581192624592,0.043896286605975054,0.0398129872865115,0.9844014637298875,,,estable
2026-01,huella_consulta,127,0.11401780517073189,0.1179768460892376,0.05525516410458525,0.8194367082958394,,,alerta
2026-01,saldo_total,127,0.024513078023571503,0.05528341980210418,0.0557113526161989,0.811821568910073,,,estable
2026-01,saldo_principal,127,0.05074671994753097,0.07940360305689992,0.05833349550145617,0.7683901762019628,,,estable
2026-01,creditos_sectorFinanciero,127,0.004763077132573053,0.02439702506691406,0.031892512600051215,0.9991713425184856,,,estable
2026-01,creditos_sectorCooperativo,127,0.013961039368986888,0.04173419822685618,0.046905718553299725,0.9340051585586676,,,estable
